date,region,site,account,opportunity,headcount,recovery,opportunity_per,recovery_per,headcount_per
8/1/2016,North America,"Las Vegas, Nevada (I)",USAA P+C,2000,1,0,0.001317523,1.32E-03,0.00E+00
8/1/2016,LATAM,"Panama City, Panama (Chanis)",Cox OLS-Chat/Email,4000,2,0,0.002635046,2.64E-03,0.00E+00
8/1/2016,North America,"Las Vegas, Nevada (I)",USAA P+C,10000,5,0,0.006587615,6.59E-03,0.00E+00
8/1/2016,North America,"Norman, Oklahoma",Public Service Credit Union (PSCU),2000,1,0,0.001317523,1.32E-03,0.00E+00
8/1/2016,North America,"Norman, Oklahoma",Public Service Credit Union (PSCU),2000,1,0,0.001317523,1.32E-03,0.00E+00
8/1/2016,North America,"Norman, Oklahoma",Public Service Credit Union (PSCU),4000,2,0,0.002635046,2.64E-03,0.00E+00
8/1/2016,LATAM,"Panama City, Panama (Chanis)",Cox OLS-Chat/Email,12000,6,0,0.007905138,7.91E-03,0.00E+00
8/1/2016,LATAM,"Panama City, Panama (TM)",Citizens,10000,5,0,0.006587615,6.59E-03,0.00E+00
8/1/2016,North America,"Bartlesville, Oklahoma",Citizens,2000,1,0,0.001317523,1.32E-03,0.00E+00
8/1/2016,North America,"Bartlesville, Oklahoma",ORHP Customer Care,2000,1,0,0.001317523,1.32E-03,0.00E+00
8/1/2016,North America,"Oak Ridge, Tennessee",USAA Auto Unlicensed,14000,7,0,0.009222661,9.22E-03,0.00E+00
8/1/2016,North America,"Oak Ridge, Tennessee",USAA Auto Unlicensed,2000,1,0,0.001317523,1.32E-03,0.00E+00
8/1/2016,North America,"Oak Ridge, Tennessee",USAA Auto Unlicensed,6000,3,0,0.003952569,3.95E-03,0.00E+00
8/1/2016,North America,"Oak Ridge, Tennessee",USAA First Notice of Loss,12000,6,0,0.007905138,7.91E-03,0.00E+00
8/1/2016,North America,"Oak Ridge, Tennessee",USAA First Notice of Loss,2000,1,0,0.001317523,1.32E-03,0.00E+00
8/1/2016,North America,"St. Catharines, Ontario",Cox Tech-Data/Prod Liab/Home,4000,2,0,0.002635046,2.64E-03,0.00E+00
8/1/2016,North America,"St. Catharines, Ontario",Cox Billing,2000,1,0,0.001317523,1.32E-03,0.00E+00
8/1/2016,North America,"St. Catharines, Ontario",Cox Tech-Data/Prod Liab/Home,34000,17,0,0.022397892,2.24E-02,0.00E+00
8/1/2016,North America,"Oak Ridge, Tennessee",USAA First Notice of Loss,4000,2,0,0.002635046,2.64E-03,0.00E+00
8/1/2016,North America,"Oak Ridge, Tennessee",USAA First Notice of Loss,4000,2,0,0.002635046,2.64E-03,0.00E+00
8/1/2016,North America,"St. Catharines, Ontario",Cox Tech-Data/Prod Liab/Home,8000,4,0,0.005270092,5.27E-03,0.00E+00
8/1/2016,North America,"St. Catharines, Ontario",Cox Billing,16000,8,0,0.010540184,1.05E-02,0.00E+00
8/1/2016,North America,"St. Catharines, Ontario",Cox Billing,2000,1,0,0.001317523,1.32E-03,0.00E+00
8/1/2016,North America,"St. Catharines, Ontario",Cox Tech-Data/Prod Liab/Home,8000,4,0,0.005270092,5.27E-03,0.00E+00
8/1/2016,EMEA,"Exeter, UK",Exeter-Whirlpool-Customer Care,6000,3,0,0.003952569,3.95E-03,0.00E+00
8/1/2016,EMEA,"Casablanca, Morocco (II)",Casablanca 2-Bouygues Telecom,2000,1,0,0.001317523,1.32E-03,0.00E+00
8/1/2016,LATAM,"Bogota, Colombia (Calle 140)",Comcast HSD/CDV Repair-Central Division,4000,2,0,0.002635046,2.64E-03,0.00E+00
8/1/2016,LATAM,"Panama City, Panama (Chanis)",Cox OLS-Chat/Email,2000,1,0,0.001317523,1.32E-03,0.00E+00
8/1/2016,LATAM,"Managua, Nicaragua (Embassy)",Choice Hotel,4000,2,0,0.002635046,2.64E-03,0.00E+00
8/1/2016,LATAM,"Bogota, Colombia (Calle 140)",Comcast HSD/CDV Repair-Central Division,10000,5,0,0.006587615,6.59E-03,0.00E+00
8/1/2016,LATAM,"Sao Paulo, Brazil (Ipanema)",Dell Customer Care LVR,22000,11,0,0.014492754,1.45E-02,0.00E+00
8/1/2016,LATAM,"Bogota, Colombia (Calle 140)",Comcast HSD/CDV Repair-Central Division,18000,9,0,0.011857708,1.19E-02,0.00E+00
8/1/2016,EMEA,"Dusseldorf, Germany",Amazon Seller Support,10000,5,0,0.006587615,6.59E-03,0.00E+00
8/1/2016,APAC,"Manila, Philippines (Pasig)",XM Satellite Radio (Canadian Consumers),6000,3,0,0.003952569,3.95E-03,0.00E+00
8/1/2016,APAC,"Tarlac, Philippines",Staples Canadian Volume,4000,2,0,0.002635046,2.64E-03,0.00E+00
8/1/2016,APAC,"Manila, Philippines (Eton)",LG Electronics-Canada Call Volume,2000,1,0,0.001317523,1.32E-03,0.00E+00
9/1/2016,North America,"Las Vegas, Nevada (I)",USAA P+C,2000,1,0,0.001317523,1.32E-03,0.00E+00
9/1/2016,North America,"St. Catharines, Ontario",Cox Billing,8000,4,0,0.005270092,5.27E-03,0.00E+00
9/1/2016,North America,"St. Catharines, Ontario",Cox Collections,2000,1,0,0.001317523,1.32E-03,0.00E+00
9/1/2016,LATAM,"Panama City, Panama (Chanis)",Cox OLS-Chat/Email,2000,1,0,0.001317523,1.32E-03,0.00E+00
9/1/2016,North America,"Las Vegas, Nevada (I)",USAA P+C,10000,5,0,0.006587615,6.59E-03,0.00E+00
9/1/2016,North America,"Norman, Oklahoma",Public Service Credit Union (PSCU),2000,1,0,0.001317523,1.32E-03,0.00E+00
9/1/2016,North America,"Norman, Oklahoma",Public Service Credit Union (PSCU),2000,1,0,0.001317523,1.32E-03,0.00E+00
9/1/2016,LATAM,"Panama City, Panama (Chanis)",Cox OLS-Chat/Email,6000,3,0,0.003952569,3.95E-03,0.00E+00
9/1/2016,LATAM,"Panama City, Panama (TM)",Citizens,12000,6,0,0.007905138,7.91E-03,0.00E+00
9/1/2016,North America,"Oak Ridge, Tennessee",USAA First Notice of Loss,2000,1,0,0.001317523,1.32E-03,0.00E+00
9/1/2016,North America,"St. Catharines, Ontario",Cox Tech-Data/Prod Liab/Home,4000,2,0,0.002635046,2.64E-03,0.00E+00
9/1/2016,North America,"St. Catharines, Ontario",Cox Billing,8000,4,0,0.005270092,5.27E-03,0.00E+00
9/1/2016,LATAM,"Managua, Nicaragua (Embassy)",Wide Open West,2000,1,0,0.001317523,1.32E-03,0.00E+00
9/1/2016,North America,"Oak Ridge, Tennessee",USAA First Notice of Loss,4000,2,0,0.002635046,2.64E-03,0.00E+00
9/1/2016,North America,"Oak Ridge, Tennessee",USAA First Notice of Loss,4000,2,0,0.002635046,2.64E-03,0.00E+00
9/1/2016,North America,"St. Catharines, Ontario",Cox Tech-Data/Prod Liab/Home,8000,4,0,0.005270092,5.27E-03,0.00E+00
9/1/2016,North America,"Oak Ridge, Tennessee",USAA Auto Unlicensed,4000,2,0,0.002635046,2.64E-03,0.00E+00
9/1/2016,North America,"Oak Ridge, Tennessee",USAA First Notice of Loss,12000,6,0,0.007905138,7.91E-03,0.00E+00
9/1/2016,North America,"Las Vegas, Nevada (II)",AAA-Arizona Membership,2000,1,0,0.001317523,1.32E-03,0.00E+00
9/1/2016,EMEA,"Exeter, UK",Exeter-Whirlpool-Customer Care,2000,1,0,0.001317523,1.32E-03,0.00E+00
9/1/2016,EMEA,"Casablanca, Morocco (II)",Casablanca 2-Bouygues Telecom,8000,4,0,0.005270092,5.27E-03,0.00E+00
9/1/2016,North America,"St. Catharines, Ontario",Cox Tech-Data/Prod Liab/Home,34000,17,0,0.022397892,2.24E-02,0.00E+00
9/1/2016,North America,"Bartlesville, Oklahoma",ORHP Customer Care,2000,1,0,0.001317523,1.32E-03,0.00E+00
9/1/2016,North America,"Oak Ridge, Tennessee",USAA Auto Unlicensed,6000,3,0,0.003952569,3.95E-03,0.00E+00
9/1/2016,LATAM,"Bogota, Colombia (Calle 140)",Comcast HSD/CDV Repair-Central Division,10000,5,0,0.006587615,6.59E-03,0.00E+00
9/1/2016,North America,"St. Catharines, Ontario",Cox Tech-Data/Prod Liab/Home,8000,4,0,0.005270092,5.27E-03,0.00E+00
9/1/2016,North America,"St. Catharines, Ontario",Cox Collections,2000,1,0,0.001317523,1.32E-03,0.00E+00
9/1/2016,North America,"St. Catharines, Ontario",Cox Billing,42000,21,0,0.027667984,2.77E-02,0.00E+00
9/1/2016,North America,"St. Catharines, Ontario",Cox Billing,6000,3,0,0.003952569,3.95E-03,0.00E+00
9/1/2016,LATAM,"Managua, Nicaragua (Embassy)",Choice Hotel,2000,1,0,0.001317523,1.32E-03,0.00E+00
9/1/2016,LATAM,"Sao Paulo, Brazil (Ipanema)",Dell Customer Care LVR,24000,12,0,0.015810277,1.58E-02,0.00E+00
9/1/2016,LATAM,"Bogota, Colombia (Calle 140)",Comcast HSD/CDV Repair-Central Division,20000,10,0,0.013175231,1.32E-02,0.00E+00
9/1/2016,APAC,"Manila, Philippines (Eton)",LG Electronics-Canada Call Volume,2000,1,0,0.001317523,1.32E-03,0.00E+00
9/1/2016,EMEA,"Dusseldorf, Germany",Amazon Seller Support,10000,5,0,0.006587615,6.59E-03,0.00E+00
9/1/2016,LATAM,"Bogota, Colombia (Calle 140)",Comcast HSD/CDV Repair-Central Division,4000,2,0,0.002635046,2.64E-03,0.00E+00
9/1/2016,APAC,"Tarlac, Philippines",Staples Canadian Volume,4000,2,0,0.002635046,2.64E-03,0.00E+00
9/1/2016,APAC,"Manila, Philippines (Pasig)",XM Satellite Radio (Canadian Consumers),6000,3,0,0.003952569,3.95E-03,0.00E+00
9/1/2016,APAC,"Manila, Philippines (Eton 2)",Staples US Chat,2000,1,0,0.001317523,1.32E-03,0.00E+00
10/1/2016,North America,"Las Vegas, Nevada (I)",USAA P+C,2000,1,0,0.001317523,1.32E-03,0.00E+00
10/1/2016,North America,"St. Catharines, Ontario",Cox Billing,8000,4,0,0.005270092,5.27E-03,0.00E+00
10/1/2016,LATAM,"Panama City, Panama (Chanis)",Cox OLS-Chat/Email,2000,1,0,0.001317523,1.32E-03,0.00E+00
10/1/2016,North America,"Las Vegas, Nevada (I)",USAA P+C,10000,5,0,0.006587615,6.59E-03,0.00E+00
10/1/2016,North America,"Norman, Oklahoma",Public Service Credit Union (PSCU),2000,1,0,0.001317523,1.32E-03,0.00E+00
10/1/2016,North America,"Norman, Oklahoma",Public Service Credit Union (PSCU),2000,1,0,0.001317523,1.32E-03,0.00E+00
10/1/2016,North America,"Norman, Oklahoma",Public Service Credit Union (PSCU),2000,1,0,0.001317523,1.32E-03,0.00E+00
10/1/2016,LATAM,"Panama City, Panama (Chanis)",Cox OLS-Chat/Email,4000,2,0,0.002635046,2.64E-03,0.00E+00
10/1/2016,LATAM,"Panama City, Panama (TM)",Citizens,12000,6,0,0.007905138,7.91E-03,0.00E+00
10/1/2016,North America,"Oak Ridge, Tennessee",USAA First Notice of Loss,2000,1,0,0.001317523,1.32E-03,0.00E+00
10/1/2016,North America,"St. Catharines, Ontario",Cox Tech-Data/Prod Liab/Home,2000,1,0,0.001317523,1.32E-03,0.00E+00
10/1/2016,North America,"St. Catharines, Ontario",Cox Billing,8000,4,0,0.005270092,5.27E-03,0.00E+00
10/1/2016,North America,"Oak Ridge, Tennessee",USAA First Notice of Loss,4000,2,0,0.002635046,2.64E-03,0.00E+00
10/1/2016,North America,"Oak Ridge, Tennessee",USAA First Notice of Loss,4000,2,0,0.002635046,2.64E-03,0.00E+00
10/1/2016,North America,"St. Catharines, Ontario",Cox Tech-Data/Prod Liab/Home,4000,2,0,0.002635046,2.64E-03,0.00E+00
10/1/2016,North America,"Oak Ridge, Tennessee",USAA Auto Unlicensed,6000,3,0,0.003952569,3.95E-03,0.00E+00
10/1/2016,North America,"Oak Ridge, Tennessee",USAA First Notice of Loss,12000,6,0,0.007905138,7.91E-03,0.00E+00
10/1/2016,North America,"St. Catharines, Ontario",Cox Tech-Data/Prod Liab/Home,24000,12,0,0.015810277,1.58E-02,0.00E+00
10/1/2016,EMEA,"Exeter, UK",Exeter-Whirlpool-Customer Care,2000,1,0,0.001317523,1.32E-03,0.00E+00
10/1/2016,EMEA,"Casablanca, Morocco (II)",Casablanca 2-Bouygues Telecom,8000,4,0,0.005270092,5.27E-03,0.00E+00
10/1/2016,North America,"Bartlesville, Oklahoma",Citizens,2000,1,0,0.001317523,1.32E-03,0.00E+00
10/1/2016,North America,"Bartlesville, Oklahoma",ORHP Customer Care,2000,1,0,0.001317523,1.32E-03,0.00E+00
10/1/2016,North America,"Oak Ridge, Tennessee",USAA Auto Unlicensed,8000,4,0,0.005270092,5.27E-03,0.00E+00
10/1/2016,North America,"St. Catharines, Ontario",Cox Tech-Data/Prod Liab/Home,6000,3,0,0.003952569,3.95E-03,0.00E+00
10/1/2016,LATAM,"Bogota, Colombia (Calle 140)",Comcast HSD/CDV Repair-Central Division,10000,5,0,0.006587615,6.59E-03,0.00E+00
10/1/2016,North America,"St. Catharines, Ontario",Cox Billing,44000,22,0,0.028985507,2.90E-02,0.00E+00
10/1/2016,North America,"St. Catharines, Ontario",Cox Billing,6000,3,0,0.003952569,3.95E-03,0.00E+00
10/1/2016,LATAM,"Managua, Nicaragua (Embassy)",Choice Hotel,2000,1,0,0.001317523,1.32E-03,0.00E+00
10/1/2016,LATAM,"Sao Paulo, Brazil (Ipanema)",Dell Customer Care LVR,24000,12,0,0.015810277,1.58E-02,0.00E+00
10/1/2016,LATAM,"Bogota, Colombia (Calle 140)",Comcast HSD/CDV Repair-Central Division,16000,8,0,0.010540184,1.05E-02,0.00E+00
10/1/2016,LATAM,"Bogota, Colombia (Calle 140)",Comcast HSD/CDV Repair-Central Division,4000,2,0,0.002635046,2.64E-03,0.00E+00
10/1/2016,EMEA,"Dusseldorf, Germany",Amazon Seller Support,10000,5,0,0.006587615,6.59E-03,0.00E+00
10/1/2016,APAC,"Manila, Philippines (Eton)",LG Electronics-Canada Call Volume,2000,1,0,0.001317523,1.32E-03,0.00E+00
